model,model_id,game_pk,game_date,away_team,home_team,venue,quantity,point_estimate,ci_90_low,ci_90_high,ci_width,actual,hit_90,abs_dev,norm_abs_dev,expected_abs_dev,norm_expected_abs_dev
claude,claude-sonnet-4-6,822801,2026-06-14,New York Yankees,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,5.0,5.0,3.0,1.0,1.0,0.3333333333333333,1.2125905179374854,0.4041968393124951
claude,claude-sonnet-4-6,822801,2026-06-14,New York Yankees,Toronto Blue Jays,Rogers Centre,duration_min,195.0,155.0,245.0,90.0,194.0,1.0,1.0,0.005154639175257732,21.826629322874737,0.11250839857151926
claude,claude-sonnet-4-6,822801,2026-06-14,New York Yankees,Toronto Blue Jays,Rogers Centre,attendance,28500.0,18000.0,38000.0,20000.0,41596.0,0.0,13096.0,0.31483796518896046,4850.362071749942,0.11660645426843787
claude,claude-sonnet-4-6,822802,2026-06-13,New York Yankees,Toronto Blue Jays,Rogers Centre,total_runs,9.0,3.0,18.0,15.0,4.0,1.0,5.0,1.25,3.6377715538124566,0.9094428884531142
claude,claude-sonnet-4-6,822802,2026-06-13,New York Yankees,Toronto Blue Jays,Rogers Centre,total_strikeouts,16.0,9.0,25.0,16.0,20.0,1.0,4.0,0.2,3.880289657399953,0.19401448286999765
claude,claude-sonnet-4-6,822802,2026-06-13,New York Yankees,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,5.0,5.0,3.0,1.0,1.0,0.3333333333333333,1.2125905179374854,0.4041968393124951
claude,claude-sonnet-4-6,822802,2026-06-13,New York Yankees,Toronto Blue Jays,Rogers Centre,duration_min,195.0,155.0,240.0,85.0,157.0,1.0,38.0,0.24203821656050956,20.614038804937252,0.13129961022253026
claude,claude-sonnet-4-6,822802,2026-06-13,New York Yankees,Toronto Blue Jays,Rogers Centre,attendance,28500.0,18000.0,40000.0,22000.0,42364.0,0.0,13864.0,0.32725899348503446,5335.398278924936,0.12594179678323425
claude,claude-sonnet-4-6,822803,2026-06-12,New York Yankees,Toronto Blue Jays,Rogers Centre,total_runs,9.0,3.0,17.0,14.0,13.0,1.0,4.0,0.3076923076923077,3.395253450224959,0.26117334232499684
claude,claude-sonnet-4-6,822803,2026-06-12,New York Yankees,Toronto Blue Jays,Rogers Centre,total_strikeouts,17.0,9.0,27.0,18.0,16.0,1.0,1.0,0.0625,4.365325864574947,0.2728328665359342
claude,claude-sonnet-4-6,822803,2026-06-12,New York Yankees,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,6.0,6.0,3.0,1.0,1.0,0.3333333333333333,1.4551086215249824,0.4850362071749941
claude,claude-sonnet-4-6,822803,2026-06-12,New York Yankees,Toronto Blue Jays,Rogers Centre,duration_min,185.0,150.0,230.0,80.0,171.0,1.0,14.0,0.08187134502923976,19.401448286999766,0.11345876191227934
claude,claude-sonnet-4-6,822803,2026-06-12,New York Yankees,Toronto Blue Jays,Rogers Centre,attendance,28500.0,18000.0,40000.0,22000.0,41596.0,0.0,13096.0,0.31483796518896046,5335.398278924936,0.12826709969528166
claude,claude-sonnet-4-6,822804,2026-06-10,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_runs,9.0,3.0,17.0,14.0,11.0,1.0,2.0,0.18181818181818182,3.395253450224959,0.30865940456590535
claude,claude-sonnet-4-6,822804,2026-06-10,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_strikeouts,16.0,8.0,26.0,18.0,20.0,1.0,4.0,0.2,4.365325864574947,0.21826629322874735
claude,claude-sonnet-4-6,822804,2026-06-10,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,5.0,5.0,3.0,1.0,1.0,0.3333333333333333,1.2125905179374854,0.4041968393124951
claude,claude-sonnet-4-6,822804,2026-06-10,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,duration_min,185.0,150.0,230.0,80.0,192.0,1.0,7.0,0.036458333333333336,19.401448286999766,0.10104920982812378
claude,claude-sonnet-4-6,822804,2026-06-10,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,attendance,28000.0,18000.0,38000.0,20000.0,35733.0,1.0,7733.0,0.21641060084515715,4850.362071749942,0.13573901076735628
claude,claude-sonnet-4-6,822805,2026-06-09,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_runs,8.5,3.0,17.0,14.0,5.0,1.0,3.5,0.7,3.395253450224959,0.6790506900449917
claude,claude-sonnet-4-6,822805,2026-06-09,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_strikeouts,16.0,8.0,26.0,18.0,23.0,1.0,7.0,0.30434782608695654,4.365325864574947,0.18979677672064987
claude,claude-sonnet-4-6,822805,2026-06-09,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.2125905179374854,1.2125905179374854
claude,claude-sonnet-4-6,822805,2026-06-09,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,duration_min,185.0,145.0,240.0,95.0,150.0,1.0,35.0,0.23333333333333334,23.039219840812223,0.15359479893874814
claude,claude-sonnet-4-6,822805,2026-06-09,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,attendance,28000.0,18000.0,38000.0,20000.0,41079.0,0.0,13079.0,0.3183865235278366,4850.362071749942,0.11807400549550723
claude,claude-sonnet-4-6,822806,2026-06-08,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_runs,9.0,3.0,17.0,14.0,7.0,1.0,2.0,0.2857142857142857,3.395253450224959,0.4850362071749941
claude,claude-sonnet-4-6,822806,2026-06-08,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_strikeouts,16.0,8.0,26.0,18.0,19.0,1.0,3.0,0.15789473684210525,4.365325864574947,0.22975399287236564
claude,claude-sonnet-4-6,822806,2026-06-08,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,1.4551086215249824,0.7275543107624912
claude,claude-sonnet-4-6,822806,2026-06-08,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,duration_min,185.0,145.0,235.0,90.0,154.0,1.0,31.0,0.2012987012987013,21.826629322874737,0.14173135923944635
claude,claude-sonnet-4-6,822806,2026-06-08,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,attendance,28000.0,18000.0,40000.0,22000.0,37178.0,1.0,9178.0,0.2468664263811932,5335.398278924936,0.14350955616022745
claude,claude-sonnet-4-6,822807,2026-06-07,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_runs,9.0,3.0,17.0,14.0,10.0,1.0,1.0,0.1,3.395253450224959,0.3395253450224959
claude,claude-sonnet-4-6,822807,2026-06-07,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_strikeouts,16.0,9.0,25.0,16.0,15.0,1.0,1.0,0.06666666666666667,3.880289657399953,0.25868597715999686
claude,claude-sonnet-4-6,822807,2026-06-07,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,5.0,5.0,4.0,1.0,2.0,0.5,1.2125905179374854,0.30314762948437135
claude,claude-sonnet-4-6,822807,2026-06-07,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,duration_min,185.0,150.0,230.0,80.0,166.0,1.0,19.0,0.1144578313253012,19.401448286999766,0.11687619449999859
claude,claude-sonnet-4-6,822807,2026-06-07,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,attendance,28000.0,18000.0,38000.0,20000.0,41278.0,0.0,13278.0,0.3216725616551189,4850.362071749942,0.117504774256261
claude,claude-sonnet-4-6,822808,2026-06-06,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_runs,9.0,3.0,17.0,14.0,10.0,1.0,1.0,0.1,3.395253450224959,0.3395253450224959
claude,claude-sonnet-4-6,822808,2026-06-06,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_strikeouts,16.0,9.0,25.0,16.0,18.0,1.0,2.0,0.1111111111111111,3.880289657399953,0.21557164763333073
claude,claude-sonnet-4-6,822808,2026-06-06,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,5.0,5.0,4.0,1.0,2.0,0.5,1.2125905179374854,0.30314762948437135
claude,claude-sonnet-4-6,822808,2026-06-06,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,duration_min,185.0,150.0,225.0,75.0,158.0,1.0,27.0,0.17088607594936708,18.18885776906228,0.11511935296874862
claude,claude-sonnet-4-6,822808,2026-06-06,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,attendance,28500.0,18000.0,40000.0,22000.0,41868.0,0.0,13368.0,0.3192891946116366,5335.398278924936,0.1274337985794625
claude,claude-sonnet-4-6,822810,2026-06-05,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_runs,9.0,3.0,17.0,14.0,16.0,1.0,7.0,0.4375,3.395253450224959,0.21220334063905993
claude,claude-sonnet-4-6,822810,2026-06-05,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_strikeouts,16.0,8.0,26.0,18.0,14.0,1.0,2.0,0.14285714285714285,4.365325864574947,0.31180899032678194
claude,claude-sonnet-4-6,822810,2026-06-05,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,total_home_runs,2.0,0.0,5.0,5.0,3.0,1.0,1.0,0.3333333333333333,1.2125905179374854,0.4041968393124951
claude,claude-sonnet-4-6,822810,2026-06-05,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,duration_min,185.0,150.0,230.0,80.0,169.0,1.0,16.0,0.09467455621301775,19.401448286999766,0.11480146915384477
claude,claude-sonnet-4-6,822810,2026-06-05,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,attendance,28000.0,18000.0,38000.0,20000.0,41801.0,0.0,13801.0,0.33015956556063253,4850.362071749942,0.11603459419032898
claude,claude-sonnet-4-6,822887,2026-06-15,Minnesota Twins,Texas Rangers,Globe Life Field,total_runs,9.0,3.0,17.0,14.0,6.0,1.0,3.0,0.5,3.395253450224959,0.5658755750374932
claude,claude-sonnet-4-6,822887,2026-06-15,Minnesota Twins,Texas Rangers,Globe Life Field,total_strikeouts,16.0,8.0,26.0,18.0,18.0,1.0,2.0,0.1111111111111111,4.365325864574947,0.24251810358749706
claude,claude-sonnet-4-6,822887,2026-06-15,Minnesota Twins,Texas Rangers,Globe Life Field,total_home_runs,2.0,0.0,5.0,5.0,3.0,1.0,1.0,0.3333333333333333,1.2125905179374854,0.4041968393124951
claude,claude-sonnet-4-6,822887,2026-06-15,Minnesota Twins,Texas Rangers,Globe Life Field,duration_min,185.0,150.0,230.0,80.0,133.0,0.0,52.0,0.39097744360902253,19.401448286999766,0.14587555103007344
claude,claude-sonnet-4-6,822887,2026-06-15,Minnesota Twins,Texas Rangers,Globe Life Field,attendance,33000.0,22000.0,42000.0,20000.0,25957.0,1.0,7043.0,0.27133335901683553,4850.362071749942,0.18686142742805184
claude,claude-sonnet-4-6,822888,2026-06-16,Minnesota Twins,Texas Rangers,Globe Life Field,total_runs,9.0,3.0,17.0,14.0,14.0,1.0,5.0,0.35714285714285715,3.395253450224959,0.24251810358749706
claude,claude-sonnet-4-6,822888,2026-06-16,Minnesota Twins,Texas Rangers,Globe Life Field,total_strikeouts,16.0,8.0,26.0,18.0,14.0,1.0,2.0,0.14285714285714285,4.365325864574947,0.31180899032678194
claude,claude-sonnet-4-6,822888,2026-06-16,Minnesota Twins,Texas Rangers,Globe Life Field,total_home_runs,2.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.2125905179374854,0.6062952589687427
claude,claude-sonnet-4-6,822888,2026-06-16,Minnesota Twins,Texas Rangers,Globe Life Field,duration_min,185.0,150.0,230.0,80.0,159.0,1.0,26.0,0.16352201257861634,19.401448286999766,0.12202168733962117
claude,claude-sonnet-4-6,822888,2026-06-16,Minnesota Twins,Texas Rangers,Globe Life Field,attendance,32000.0,22000.0,42000.0,20000.0,27463.0,1.0,4537.0,0.1652040927793759,4850.362071749942,0.17661442929577764
claude,claude-sonnet-4-6,822889,2026-06-18,Minnesota Twins,Texas Rangers,Globe Life Field,total_runs,9.0,3.0,17.0,14.0,12.0,1.0,3.0,0.25,3.395253450224959,0.2829377875187466
claude,claude-sonnet-4-6,822889,2026-06-18,Minnesota Twins,Texas Rangers,Globe Life Field,total_strikeouts,16.0,8.0,26.0,18.0,18.0,1.0,2.0,0.1111111111111111,4.365325864574947,0.24251810358749706
claude,claude-sonnet-4-6,822889,2026-06-18,Minnesota Twins,Texas Rangers,Globe Life Field,total_home_runs,2.0,0.0,5.0,5.0,6.0,0.0,4.0,0.6666666666666666,1.2125905179374854,0.20209841965624756
claude,claude-sonnet-4-6,822889,2026-06-18,Minnesota Twins,Texas Rangers,Globe Life Field,duration_min,185.0,150.0,230.0,80.0,179.0,1.0,6.0,0.0335195530726257,19.401448286999766,0.10838797925698193
claude,claude-sonnet-4-6,822889,2026-06-18,Minnesota Twins,Texas Rangers,Globe Life Field,attendance,34000.0,22000.0,42000.0,20000.0,30606.0,1.0,3394.0,0.11089328889760178,4850.362071749942,0.15847749041854348
claude,claude-sonnet-4-6,822890,2026-06-07,Cleveland Guardians,Texas Rangers,Globe Life Field,total_runs,9.0,3.0,17.0,14.0,10.0,1.0,1.0,0.1,3.395253450224959,0.3395253450224959
claude,claude-sonnet-4-6,822890,2026-06-07,Cleveland Guardians,Texas Rangers,Globe Life Field,total_strikeouts,16.0,9.0,25.0,16.0,16.0,1.0,0.0,0.0,3.880289657399953,0.24251810358749706
claude,claude-sonnet-4-6,822890,2026-06-07,Cleveland Guardians,Texas Rangers,Globe Life Field,total_home_runs,2.0,0.0,5.0,5.0,4.0,1.0,2.0,0.5,1.2125905179374854,0.30314762948437135
claude,claude-sonnet-4-6,822890,2026-06-07,Cleveland Guardians,Texas Rangers,Globe Life Field,duration_min,185.0,150.0,230.0,80.0,151.0,1.0,34.0,0.2251655629139073,19.401448286999766,0.12848641249668719
claude,claude-sonnet-4-6,822890,2026-06-07,Cleveland Guardians,Texas Rangers,Globe Life Field,attendance,32000.0,22000.0,42000.0,20000.0,34851.0,1.0,2851.0,0.08180540013199047,4850.362071749942,0.13917425817766899
claude,claude-sonnet-4-6,822891,2026-06-06,Cleveland Guardians,Texas Rangers,Globe Life Field,total_runs,9.0,3.0,17.0,14.0,6.0,1.0,3.0,0.5,3.395253450224959,0.5658755750374932
claude,claude-sonnet-4-6,822891,2026-06-06,Cleveland Guardians,Texas Rangers,Globe Life Field,total_strikeouts,16.0,9.0,25.0,16.0,8.0,0.0,8.0,1.0,3.880289657399953,0.4850362071749941
claude,claude-sonnet-4-6,822891,2026-06-06,Cleveland Guardians,Texas Rangers,Globe Life Field,total_home_runs,2.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.2125905179374854,0.6062952589687427
claude,claude-sonnet-4-6,822891,2026-06-06,Cleveland Guardians,Texas Rangers,Globe Life Field,duration_min,185.0,150.0,230.0,80.0,161.0,1.0,24.0,0.14906832298136646,19.401448286999766,0.12050588998136501
claude,claude-sonnet-4-6,822891,2026-06-06,Cleveland Guardians,Texas Rangers,Globe Life Field,attendance,32000.0,22000.0,42000.0,20000.0,31608.0,1.0,392.0,0.012401923563654771,4850.362071749942,0.15345362160686984
claude,claude-sonnet-4-6,822892,2026-06-05,Cleveland Guardians,Texas Rangers,Globe Life Field,total_runs,9.0,3.0,17.0,14.0,5.0,1.0,4.0,0.8,3.395253450224959,0.6790506900449917
claude,claude-sonnet-4-6,822892,2026-06-05,Cleveland Guardians,Texas Rangers,Globe Life Field,total_strikeouts,16.0,8.0,26.0,18.0,17.0,1.0,1.0,0.058823529411764705,4.365325864574947,0.2567838743867616
claude,claude-sonnet-4-6,822892,2026-06-05,Cleveland Guardians,Texas Rangers,Globe Life Field,total_home_runs,2.0,0.0,5.0,5.0,3.0,1.0,1.0,0.3333333333333333,1.2125905179374854,0.4041968393124951
claude,claude-sonnet-4-6,822892,2026-06-05,Cleveland Guardians,Texas Rangers,Globe Life Field,duration_min,185.0,150.0,230.0,80.0,154.0,1.0,31.0,0.2012987012987013,19.401448286999766,0.1259834304350634
claude,claude-sonnet-4-6,822892,2026-06-05,Cleveland Guardians,Texas Rangers,Globe Life Field,attendance,32000.0,22000.0,42000.0,20000.0,27738.0,1.0,4262.0,0.15365202970653977,4850.362071749942,0.17486343902768553
claude,claude-sonnet-4-6,822969,2026-06-09,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_runs,8.0,3.0,15.0,12.0,7.0,1.0,1.0,0.14285714285714285,2.910217243049965,0.4157453204357093
claude,claude-sonnet-4-6,822969,2026-06-09,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_strikeouts,17.0,10.0,26.0,16.0,7.0,0.0,10.0,1.4285714285714286,3.880289657399953,0.554327093914279
claude,claude-sonnet-4-6,822969,2026-06-09,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_home_runs,2.0,0.0,5.0,5.0,0.0,1.0,2.0,1999999999.9999998,1.2125905179374854,1212590517.9374852
claude,claude-sonnet-4-6,822969,2026-06-09,Boston Red Sox,Tampa Bay Rays,Tropicana Field,duration_min,185.0,150.0,230.0,80.0,130.0,0.0,55.0,0.4230769230769231,19.401448286999766,0.1492419098999982
claude,claude-sonnet-4-6,822969,2026-06-09,Boston Red Sox,Tampa Bay Rays,Tropicana Field,attendance,14500.0,8000.0,22000.0,14000.0,15503.0,1.0,1003.0,0.06469715538927949,3395.2534502249587,0.2190062213910184
claude,claude-sonnet-4-6,822970,2026-06-10,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_runs,8.5,3.0,17.0,14.0,12.0,1.0,3.5,0.2916666666666667,3.395253450224959,0.2829377875187466
claude,claude-sonnet-4-6,822970,2026-06-10,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_strikeouts,16.0,9.0,25.0,16.0,20.0,1.0,4.0,0.2,3.880289657399953,0.19401448286999765
claude,claude-sonnet-4-6,822970,2026-06-10,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_home_runs,2.0,0.0,5.0,5.0,4.0,1.0,2.0,0.5,1.2125905179374854,0.30314762948437135
claude,claude-sonnet-4-6,822970,2026-06-10,Boston Red Sox,Tampa Bay Rays,Tropicana Field,duration_min,185.0,150.0,230.0,80.0,154.0,1.0,31.0,0.2012987012987013,19.401448286999766,0.1259834304350634
claude,claude-sonnet-4-6,822970,2026-06-10,Boston Red Sox,Tampa Bay Rays,Tropicana Field,attendance,14500.0,9000.0,22000.0,13000.0,16504.0,1.0,2004.0,0.12142510906446922,3152.735346637462,0.1910285595393518
claude,claude-sonnet-4-6,822972,2026-06-08,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_runs,8.0,3.0,15.0,12.0,4.0,1.0,4.0,1.0,2.910217243049965,0.7275543107624912
claude,claude-sonnet-4-6,822972,2026-06-08,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_strikeouts,16.0,9.0,24.0,15.0,20.0,1.0,4.0,0.2,3.6377715538124566,0.18188857769062283
claude,claude-sonnet-4-6,822972,2026-06-08,Boston Red Sox,Tampa Bay Rays,Tropicana Field,total_home_runs,2.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.2125905179374854,0.6062952589687427
claude,claude-sonnet-4-6,822972,2026-06-08,Boston Red Sox,Tampa Bay Rays,Tropicana Field,duration_min,185.0,150.0,225.0,75.0,165.0,1.0,20.0,0.12121212121212122,18.18885776906228,0.1102355016306805
claude,claude-sonnet-4-6,822972,2026-06-08,Boston Red Sox,Tampa Bay Rays,Tropicana Field,attendance,14500.0,8000.0,22000.0,14000.0,14579.0,1.0,79.0,0.005418753000891694,3395.2534502249587,0.23288658002777685
claude,claude-sonnet-4-6,823044,2026-06-17,San Diego Padres,St. Louis Cardinals,Busch Stadium,total_runs,8.5,3.0,17.0,14.0,7.0,1.0,1.5,0.21428571428571427,3.395253450224959,0.4850362071749941
claude,claude-sonnet-4-6,823044,2026-06-17,San Diego Padres,St. Louis Cardinals,Busch Stadium,total_strikeouts,17.0,9.0,27.0,18.0,13.0,1.0,4.0,0.3076923076923077,4.365325864574947,0.33579429727499593
claude,claude-sonnet-4-6,823044,2026-06-17,San Diego Padres,St. Louis Cardinals,Busch Stadium,total_home_runs,2.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.4551086215249824,1.4551086215249824
claude,claude-sonnet-4-6,823044,2026-06-17,San Diego Padres,St. Louis Cardinals,Busch Stadium,duration_min,195.0,155.0,245.0,90.0,172.0,1.0,23.0,0.13372093023255813,21.826629322874737,0.1268990076911322
