model,ticker,pred_date,run,current_price,window_days,target_date,actual_date,actual_price,point_estimate,ci_50_low,ci_50_high,ci_80_low,ci_80_high,ci_90_low,ci_90_high,hit_50,hit_80,hit_90,brier_score
claude,AAPL,2026-02-20,2,264.5799865722656,20,2026-03-12,2026-03-12,255.75999450683597,268.5,258.2,278.8,248.9,288.1,242.6,294.4,0.0,1.0,1.0,0.002481269873944769
claude,AAPL,2026-02-20,3,264.5799865722656,20,2026-03-12,2026-03-12,255.75999450683597,268.45,258.2,278.7,248.9,288.0,242.15,294.75,0.0,1.0,1.0,0.002461831885291932
claude,AAPL,2026-02-20,4,264.5799865722656,20,2026-03-12,2026-03-12,255.75999450683597,268.5,258.2,278.8,248.9,288.1,242.6,294.4,0.0,1.0,1.0,0.002481269873944769
claude,AAPL,2026-02-20,5,264.5799865722656,20,2026-03-12,2026-03-12,255.75999450683597,267.45,259.2,275.7,251.85,283.05,246.5,288.4,0.0,1.0,1.0,0.0020891239244790567
claude,AAPL,2026-02-23,1,266.17999267578125,18,2026-03-13,2026-03-13,250.1199951171875,268.45,259.12,277.78,251.67,285.23,246.89,289.01,0.0,0.0,1.0,0.00537066839489421
claude,AAPL,2026-02-23,2,266.17999267578125,18,2026-03-13,2026-03-13,250.1199951171875,268.5,260.15,276.85,252.8,284.2,247.45,289.55,0.0,0.0,1.0,0.005400008230850937
claude,AAPL,2026-02-23,3,266.17999267578125,18,2026-03-13,2026-03-13,250.1199951171875,268.5,260.25,276.75,252.5,284.5,247.0,290.0,0.0,0.0,1.0,0.005400008230850937
claude,AAPL,2026-02-23,4,266.17999267578125,18,2026-03-13,2026-03-13,250.1199951171875,268.5,261.25,275.75,254.5,282.5,249.75,287.25,0.0,0.0,1.0,0.005400008230850937
claude,AAPL,2026-02-23,5,266.17999267578125,18,2026-03-13,2026-03-13,250.1199951171875,268.5,260.25,276.75,252.0,285.0,246.5,290.5,0.0,0.0,1.0,0.005400008230850937
claude,AAPL,2026-02-23,1,266.17999267578125,3,2026-02-26,2026-02-26,272.95001220703125,266.5,263.25,269.75,260.5,272.5,258.25,274.75,0.0,0.0,1.0,0.00055841212151756
claude,AAPL,2026-02-23,2,266.17999267578125,3,2026-02-26,2026-02-26,272.95001220703125,266.85,262.5,271.2,258.8,274.9,255.6,278.1,0.0,1.0,1.0,0.0004994536278907404
claude,AAPL,2026-02-23,3,266.17999267578125,3,2026-02-26,2026-02-26,272.95001220703125,267.25,262.5,272.0,258.75,275.75,255.5,279.0,0.0,1.0,1.0,0.0004360992455738718
claude,AAPL,2026-02-23,4,266.17999267578125,3,2026-02-26,2026-02-26,272.95001220703125,266.75,263.5,270.0,260.25,273.25,257.75,276.75,0.0,1.0,1.0,0.0005159633490127342
claude,AAPL,2026-02-23,5,266.17999267578125,3,2026-02-26,2026-02-26,272.95001220703125,266.5,262.85,270.15,259.2,273.8,256.75,276.25,0.0,1.0,1.0,0.00055841212151756
claude,AAPL,2026-02-24,1,272.1400146484375,20,2026-03-16,2026-03-16,252.82000732421875,274.85,267.2,282.5,260.75,289.95,256.3,293.4,0.0,0.0,0.0,0.007592867589660364
claude,AAPL,2026-02-24,2,272.1400146484375,20,2026-03-16,2026-03-16,252.82000732421875,275.5,268.0,283.0,260.0,291.0,254.0,297.0,0.0,0.0,0.0,0.008047536234438267
claude,AAPL,2026-02-24,3,272.1400146484375,20,2026-03-16,2026-03-16,252.82000732421875,275.5,268.0,283.0,260.0,291.0,254.0,297.0,0.0,0.0,0.0,0.008047536234438267
claude,AAPL,2026-02-24,4,272.1400146484375,20,2026-03-16,2026-03-16,252.82000732421875,275.5,268.0,283.0,260.0,291.0,252.0,299.0,0.0,0.0,1.0,0.008047536234438267
claude,AAPL,2026-02-24,5,272.1400146484375,20,2026-03-16,2026-03-16,252.82000732421875,275.8,268.5,283.1,262.4,289.2,258.3,293.3,0.0,0.0,0.0,0.008261842142207067
claude,AAPL,2026-02-24,1,272.1400146484375,2,2026-02-26,2026-02-26,272.95001220703125,272.14,267.5,276.78,263.25,281.03,260.12,284.16,1.0,1.0,1.0,8.806774809648271e-06
claude,AAPL,2026-02-24,2,272.1400146484375,2,2026-02-26,2026-02-26,272.95001220703125,272.5,268.75,276.25,265.5,279.5,262.75,282.25,1.0,1.0,1.0,2.7182059143347196e-06
claude,AAPL,2026-02-24,3,272.1400146484375,2,2026-02-26,2026-02-26,272.95001220703125,272.5,269.8,275.2,267.0,278.0,264.5,280.5,1.0,1.0,1.0,2.7182059143347196e-06
claude,AAPL,2026-02-24,4,272.1400146484375,2,2026-02-26,2026-02-26,272.95001220703125,272.14,267.86,276.42,264.71,279.57,262.37,281.91,1.0,1.0,1.0,8.806774809648271e-06
claude,AAPL,2026-02-24,5,272.1400146484375,2,2026-02-26,2026-02-26,272.95001220703125,272.14,267.89,276.39,264.37,279.91,261.74,282.54,1.0,1.0,1.0,8.806774809648271e-06
claude,AAPL,2026-02-25,1,274.2300109863281,7,2026-03-04,2026-03-04,262.5199890136719,276.5,270.8,282.2,266.45,286.55,263.1,289.9,0.0,0.0,0.0,0.0028358958076474244
claude,AAPL,2026-02-25,2,274.2300109863281,7,2026-03-04,2026-03-04,262.5199890136719,276.85,270.12,283.58,265.89,287.81,262.76,291.94,0.0,0.0,0.0,0.0029796708472749804
claude,AAPL,2026-02-25,3,274.2300109863281,7,2026-03-04,2026-03-04,262.5199890136719,276.5,270.15,282.85,265.8,287.2,262.45,290.55,0.0,0.0,1.0,0.0028358958076474244
claude,AAPL,2026-02-25,4,274.2300109863281,7,2026-03-04,2026-03-04,262.5199890136719,276.5,270.25,282.75,265.8,287.2,262.15,290.85,0.0,0.0,1.0,0.0028358958076474244
claude,AAPL,2026-02-25,5,274.2300109863281,7,2026-03-04,2026-03-04,262.5199890136719,276.15,270.5,281.8,265.75,286.55,262.1,290.2,0.0,0.0,1.0,0.0026956757821359474
claude,AAPL,2026-02-26,1,272.95001220703125,6,2026-03-04,2026-03-04,262.5199890136719,273.5,268.0,279.0,263.5,283.5,260.0,287.0,0.0,0.0,1.0,0.0017493664551933032
claude,AAPL,2026-02-26,2,272.95001220703125,6,2026-03-04,2026-03-04,262.5199890136719,274.12,269.85,278.4,266.2,281.95,263.45,284.8,0.0,0.0,0.0,0.001952504512538509
claude,AAPL,2026-02-26,3,272.95001220703125,6,2026-03-04,2026-03-04,262.5199890136719,273.5,268.75,278.25,264.5,282.5,261.25,285.75,0.0,0.0,1.0,0.0017493664551933032
claude,AAPL,2026-02-26,4,272.95001220703125,6,2026-03-04,2026-03-04,262.5199890136719,273.8,268.5,279.1,264.2,283.4,261.15,286.45,0.0,0.0,1.0,0.001846266078463113
claude,AAPL,2026-02-26,5,272.95001220703125,6,2026-03-04,2026-03-04,262.5199890136719,274.2,268.5,279.9,263.8,284.6,260.15,289.25,0.0,0.0,1.0,0.0019795284494316984
claude,AAPL,2026-02-26,1,272.95001220703125,7,2026-03-05,2026-03-05,260.2900085449219,275.2,268.5,281.9,263.8,286.6,260.4,290.0,0.0,0.0,0.0,0.0032812535739950768
claude,AAPL,2026-02-26,2,272.95001220703125,7,2026-03-05,2026-03-05,260.2900085449219,274.5,268.75,280.25,263.5,286.0,259.75,289.25,0.0,0.0,1.0,0.0029803868477591175
claude,AAPL,2026-02-26,3,272.95001220703125,7,2026-03-05,2026-03-05,260.2900085449219,275.2,268.5,281.9,262.8,287.6,258.4,292.0,0.0,0.0,1.0,0.0032812535739950768
claude,AAPL,2026-02-26,4,272.95001220703125,7,2026-03-05,2026-03-05,260.2900085449219,275.2,270.5,279.9,266.8,283.6,263.1,287.3,0.0,0.0,0.0,0.0032812535739950768
claude,AAPL,2026-02-26,5,272.95001220703125,7,2026-03-05,2026-03-05,260.2900085449219,275.5,268.0,283.0,262.5,288.5,258.0,293.0,0.0,0.0,1.0,0.0034146244428745797
claude,AAPL,2026-02-27,1,264.17999267578125,21,2026-03-20,2026-03-20,247.9900054931641,268.5,258.2,278.8,248.9,288.1,242.3,294.7,0.0,0.0,1.0,0.006840104420338386
claude,AAPL,2026-02-27,2,264.17999267578125,21,2026-03-20,2026-03-20,247.9900054931641,268.5,258.2,278.8,248.9,288.1,242.3,294.7,0.0,0.0,1.0,0.006840104420338386
claude,AAPL,2026-02-27,3,264.17999267578125,21,2026-03-20,2026-03-20,247.9900054931641,268.5,255.2,281.8,245.6,291.4,238.9,298.1,0.0,1.0,1.0,0.006840104420338386
claude,AAPL,2026-02-27,4,264.17999267578125,21,2026-03-20,2026-03-20,247.9900054931641,268.5,258.2,278.8,248.9,288.1,242.3,294.7,0.0,0.0,1.0,0.006840104420338386
claude,AAPL,2026-02-27,5,264.17999267578125,21,2026-03-20,2026-03-20,247.9900054931641,268.5,258.2,278.8,248.9,288.1,242.6,294.4,0.0,0.0,1.0,0.006840104420338386
claude,AAPL,2026-02-27,1,264.17999267578125,6,2026-03-05,2026-03-05,260.2900085449219,264.18,258.5,269.86,253.21,275.15,249.67,278.69,1.0,1.0,1.0,0.00022334811904038283
claude,AAPL,2026-02-27,2,264.17999267578125,6,2026-03-05,2026-03-05,260.2900085449219,264.18,258.5,269.86,253.21,275.15,249.12,279.24,1.0,1.0,1.0,0.00022334811904038283
claude,AAPL,2026-02-27,3,264.17999267578125,6,2026-03-05,2026-03-05,260.2900085449219,266.5,260.25,272.75,254.8,278.2,251.15,281.85,1.0,1.0,1.0,0.0005692027765014774
claude,AAPL,2026-02-27,4,264.17999267578125,6,2026-03-05,2026-03-05,260.2900085449219,264.18,258.5,269.86,252.15,276.21,247.98,280.38,1.0,1.0,1.0,0.00022334811904038283
claude,AAPL,2026-02-27,5,264.17999267578125,6,2026-03-05,2026-03-05,260.2900085449219,264.18,258.5,269.86,252.84,275.52,248.71,279.65,1.0,1.0,1.0,0.00022334811904038283
claude,AAPL,2026-03-02,1,264.7200012207031,22,2026-03-24,2026-03-24,251.63999938964844,267.5,255.2,279.8,245.9,289.1,239.6,295.4,0.0,1.0,1.0,0.003972345807948249
claude,AAPL,2026-03-02,2,264.7200012207031,22,2026-03-24,2026-03-24,251.63999938964844,267.45,254.2,280.7,245.85,289.05,240.15,294.75,0.0,1.0,1.0,0.00394733897266188
claude,AAPL,2026-03-02,3,264.7200012207031,22,2026-03-24,2026-03-24,251.63999938964844,267.45,254.2,280.7,245.85,289.05,240.15,294.75,0.0,1.0,1.0,0.00394733897266188
claude,AAPL,2026-03-02,4,264.7200012207031,22,2026-03-24,2026-03-24,251.63999938964844,267.5,258.2,276.8,248.9,286.1,242.6,292.4,0.0,1.0,1.0,0.003972345807948249
claude,AAPL,2026-03-02,5,264.7200012207031,22,2026-03-24,2026-03-24,251.63999938964844,267.85,254.2,281.5,245.75,289.95,240.3,295.4,0.0,1.0,1.0,0.004149604552840486
claude,AAPL,2026-03-23,1,251.72999572753903,1,2026-03-24,2026-03-24,251.63999938964844,251.98,249.47,254.49,247.21,256.75,245.64,258.32,1.0,1.0,1.0,1.8255765244722727e-06
claude,AAPL,2026-03-23,2,251.72999572753903,1,2026-03-24,2026-03-24,251.63999938964844,252.15,249.85,254.45,247.2,257.1,245.35,258.95,1.0,1.0,1.0,4.10754226429317e-06
claude,AAPL,2026-03-23,3,251.72999572753903,1,2026-03-24,2026-03-24,251.63999938964844,252.15,249.85,254.45,247.2,257.1,245.5,258.8,1.0,1.0,1.0,4.10754226429317e-06
claude,AAPL,2026-03-23,4,251.72999572753903,1,2026-03-24,2026-03-24,251.63999938964844,251.98,249.24,254.72,247.18,256.78,245.64,258.32,1.0,1.0,1.0,1.8255765244722727e-06
claude,AAPL,2026-03-23,5,251.72999572753903,1,2026-03-24,2026-03-24,251.63999938964844,252.15,249.85,254.45,247.2,257.1,245.5,258.8,1.0,1.0,1.0,4.10754226429317e-06
claude,ABBV,2026-02-18,1,228.72000122070312,1,2026-02-19,2026-02-19,224.3500061035156,228.95,226.85,231.05,225.2,232.7,224.15,233.75,0.0,0.0,1.0,0.0004203996439182968
claude,ABBV,2026-02-18,2,228.72000122070312,1,2026-02-19,2026-02-19,224.3500061035156,228.95,226.85,231.05,225.2,232.7,224.1,233.8,0.0,0.0,1.0,0.0004203996439182968
claude,ABBV,2026-02-18,3,228.72000122070312,1,2026-02-19,2026-02-19,224.3500061035156,228.95,226.85,231.05,225.3,232.6,224.15,233.75,0.0,0.0,1.0,0.0004203996439182968
claude,ABBV,2026-02-18,4,228.72000122070312,1,2026-02-19,2026-02-19,224.3500061035156,229.15,227.85,230.45,226.9,231.4,226.2,232.1,0.0,0.0,0.0,0.00045775089162901784
claude,ABBV,2026-02-18,5,228.72000122070312,1,2026-02-19,2026-02-19,224.3500061035156,228.95,226.85,231.05,225.3,232.6,224.15,233.75,0.0,0.0,1.0,0.0004203996439182968
claude,ABBV,2026-02-19,1,224.3500061035156,1,2026-02-20,2026-02-20,224.80999755859372,224.12,221.89,226.35,219.67,228.57,218.05,230.19,1.0,1.0,1.0,9.420281188651048e-06
claude,ABBV,2026-02-19,2,224.3500061035156,1,2026-02-20,2026-02-20,224.80999755859372,224.12,221.89,226.35,220.15,228.09,218.91,229.33,1.0,1.0,1.0,9.420281188651048e-06
claude,ABBV,2026-02-19,3,224.3500061035156,1,2026-02-20,2026-02-20,224.80999755859372,224.35,221.9,226.8,220.15,228.55,218.85,229.85,1.0,1.0,1.0,4.18677682536219e-06
claude,ABBV,2026-02-19,4,224.3500061035156,1,2026-02-20,2026-02-20,224.80999755859372,224.8,222.9,226.7,221.5,228.1,220.35,229.25,1.0,1.0,1.0,1.9776829729464318e-09
claude,ABBV,2026-02-19,5,224.3500061035156,1,2026-02-20,2026-02-20,224.80999755859372,224.12,221.89,226.35,220.15,228.09,219.28,228.96,1.0,1.0,1.0,9.420281188651048e-06
claude,ABBV,2026-02-19,1,224.3500061035156,20,2026-03-11,2026-03-11,227.67999267578125,226.8,220.15,233.45,215.9,237.7,212.25,241.35,1.0,1.0,1.0,1.4938547676606306e-05
claude,ABBV,2026-02-19,2,224.3500061035156,20,2026-03-11,2026-03-11,227.67999267578125,226.8,220.15,233.45,214.9,238.7,211.25,242.35,1.0,1.0,1.0,1.4938547676606306e-05
claude,ABBV,2026-02-19,3,224.3500061035156,20,2026-03-11,2026-03-11,227.67999267578125,226.5,220.8,232.2,216.15,236.85,213.25,239.75,1.0,1.0,1.0,2.686017796180066e-05
claude,ABBV,2026-02-19,4,224.3500061035156,20,2026-03-11,2026-03-11,227.67999267578125,226.5,220.15,232.85,215.8,237.2,212.65,240.35,1.0,1.0,1.0,2.686017796180066e-05
claude,ABBV,2026-02-19,5,224.3500061035156,20,2026-03-11,2026-03-11,227.67999267578125,226.8,220.15,233.45,215.6,238.0,212.3,241.3,1.0,1.0,1.0,1.4938547676606306e-05
claude,ABBV,2026-02-20,1,224.80999755859372,20,2026-03-12,2026-03-12,225.3699951171875,226.5,218.25,234.75,212.5,240.5,208.75,244.25,1.0,1.0,1.0,2.5140183865792908e-05
claude,ABBV,2026-02-20,2,224.80999755859372,20,2026-03-12,2026-03-12,225.3699951171875,226.5,220.25,232.75,215.5,237.5,212.0,241.0,1.0,1.0,1.0,2.5140183865792908e-05
claude,ABBV,2026-02-20,3,224.80999755859372,20,2026-03-12,2026-03-12,225.3699951171875,226.5,220.15,232.85,215.3,237.7,212.45,240.55,1.0,1.0,1.0,2.5140183865792908e-05
claude,ABBV,2026-02-20,4,224.80999755859372,20,2026-03-12,2026-03-12,225.3699951171875,226.45,218.3,234.6,212.85,240.05,209.15,243.75,1.0,1.0,1.0,2.2964619150542924e-05
claude,ABBV,2026-02-20,5,224.80999755859372,20,2026-03-12,2026-03-12,225.3699951171875,226.5,220.15,232.85,215.2,237.8,211.75,241.25,1.0,1.0,1.0,2.5140183865792908e-05
claude,ABBV,2026-02-23,1,229.47999572753903,18,2026-03-13,2026-03-13,219.67999267578125,231.75,226.5,237.0,222.25,241.25,219.5,244.0,0.0,0.0,1.0,0.0030187980197801576
claude,ABBV,2026-02-23,2,229.47999572753903,18,2026-03-13,2026-03-13,219.67999267578125,230.75,226.5,235.0,222.0,239.5,218.5,243.0,0.0,0.0,1.0,0.002539304636315249
claude,ABBV,2026-02-23,3,229.47999572753903,18,2026-03-13,2026-03-13,219.67999267578125,231.75,226.5,237.0,221.25,242.5,218.0,245.5,0.0,0.0,1.0,0.0030187980197801576
claude,ABBV,2026-02-23,4,229.47999572753903,18,2026-03-13,2026-03-13,219.67999267578125,230.75,223.5,237.25,218.75,242.5,215.25,246.25,0.0,1.0,1.0,0.002539304636315249
claude,ABBV,2026-02-23,5,229.47999572753903,18,2026-03-13,2026-03-13,219.67999267578125,231.75,226.5,237.0,221.75,241.75,218.25,245.25,0.0,0.0,1.0,0.0030187980197801576
claude,ABBV,2026-02-23,1,229.47999572753903,3,2026-02-26,2026-02-26,224.69000244140625,230.25,227.5,233.0,225.0,235.5,223.0,237.5,0.0,0.0,1.0,0.0006123245948912431
claude,ABBV,2026-02-23,2,229.47999572753903,3,2026-02-26,2026-02-26,224.69000244140625,230.15,227.8,232.5,225.9,234.4,224.2,236.1,0.0,0.0,1.0,0.0005904965969492563
claude,ABBV,2026-02-23,3,229.47999572753903,3,2026-02-26,2026-02-26,224.69000244140625,230.15,227.8,232.5,225.2,235.1,223.4,237.25,0.0,0.0,1.0,0.0005904965969492563
claude,ABBV,2026-02-23,4,229.47999572753903,3,2026-02-26,2026-02-26,224.69000244140625,230.25,227.5,233.0,225.0,235.5,223.0,237.5,0.0,0.0,1.0,0.0006123245948912431
claude,ABBV,2026-02-23,5,229.47999572753903,3,2026-02-26,2026-02-26,224.69000244140625,230.15,227.84,232.46,225.92,234.38,224.46,235.84,0.0,0.0,1.0,0.0005904965969492563
claude,ABBV,2026-02-24,1,228.44000244140625,20,2026-03-16,2026-03-16,221.4499969482422,230.15,224.8,235.5,218.6,241.7,214.2,246.1,0.0,1.0,1.0,0.0015434318308517833
claude,ABBV,2026-02-24,2,228.44000244140625,20,2026-03-16,2026-03-16,221.4499969482422,230.15,224.5,235.8,218.9,241.4,215.2,245.1,0.0,1.0,1.0,0.0015434318308517833
claude,ABBV,2026-02-24,3,228.44000244140625,20,2026-03-16,2026-03-16,221.4499969482422,231.5,225.8,237.2,220.15,242.85,216.5,246.5,0.0,1.0,1.0,0.002059591211583077
claude,ABBV,2026-02-24,4,228.44000244140625,20,2026-03-16,2026-03-16,221.4499969482422,230.15,225.8,234.5,220.25,240.05,216.7,243.6,0.0,1.0,1.0,0.0015434318308517833
claude,ABBV,2026-02-24,5,228.44000244140625,20,2026-03-16,2026-03-16,221.4499969482422,230.15,225.8,234.5,221.45,238.85,218.3,242.0,0.0,0.0,1.0,0.0015434318308517833
claude,ABBV,2026-02-24,1,228.44000244140625,2,2026-02-26,2026-02-26,224.69000244140625,228.44,225.12,231.76,221.8,235.08,219.93,236.95,0.0,1.0,1.0,0.0002785444259389985
claude,ABBV,2026-02-24,2,228.44000244140625,2,2026-02-26,2026-02-26,224.69000244140625,229.12,226.85,231.39,224.58,233.66,222.31,235.93,0.0,1.0,1.0,0.00038872231802115795
claude,ABBV,2026-02-24,3,228.44000244140625,2,2026-02-26,2026-02-26,224.69000244140625,228.44,225.73,231.15,222.58,234.3,220.22,236.66,0.0,1.0,1.0,0.0002785444259389985
claude,ABBV,2026-02-24,4,228.44000244140625,2,2026-02-26,2026-02-26,224.69000244140625,228.44,224.5,232.38,220.95,235.93,218.42,238.46,1.0,1.0,1.0,0.0002785444259389985
claude,ABBV,2026-02-24,5,228.44000244140625,2,2026-02-26,2026-02-26,224.69000244140625,229.15,226.5,231.8,224.2,234.1,222.3,235.8,0.0,1.0,1.0,0.00039400500988423157
claude,ABBV,2026-02-25,1,226.9199981689453,7,2026-03-04,2026-03-04,236.19000244140625,228.15,224.8,231.5,221.45,234.85,219.2,237.1,0.0,0.0,1.0,0.0011587489135317613
claude,ABBV,2026-02-25,2,226.9199981689453,7,2026-03-04,2026-03-04,236.19000244140625,228.15,223.5,232.8,219.75,236.55,217.25,239.05,0.0,1.0,1.0,0.0011587489135317613
claude,ABBV,2026-02-25,3,226.9199981689453,7,2026-03-04,2026-03-04,236.19000244140625,228.45,224.18,232.72,220.84,236.06,218.67,238.23,0.0,0.0,1.0,0.0010738884564482618
claude,ABBV,2026-02-25,4,226.9199981689453,7,2026-03-04,2026-03-04,236.19000244140625,228.15,224.85,231.45,221.2,235.1,218.75,237.55,0.0,0.0,1.0,0.0011587489135317613
claude,ABBV,2026-02-25,5,226.9199981689453,7,2026-03-04,2026-03-04,236.19000244140625,228.5,224.8,232.2,221.1,235.9,218.4,238.6,0.0,0.0,1.0,0.0010600587473017767
claude,ABBV,2026-02-26,1,224.69000244140625,6,2026-03-04,2026-03-04,236.19000244140625,225.5,221.8,229.2,218.5,232.5,216.0,235.0,0.0,0.0,0.0,0.0020484840533366087
claude,ABBV,2026-02-26,2,224.69000244140625,6,2026-03-04,2026-03-04,236.19000244140625,225.5,220.15,230.85,216.25,234.75,213.5,237.5,0.0,0.0,1.0,0.0020484840533366087
claude,ABBV,2026-02-26,3,224.69000244140625,6,2026-03-04,2026-03-04,236.19000244140625,225.5,221.0,230.0,218.0,233.0,215.5,235.5,0.0,0.0,0.0,0.0020484840533366087
claude,ABBV,2026-02-26,4,224.69000244140625,6,2026-03-04,2026-03-04,236.19000244140625,225.2,220.15,230.25,216.8,233.6,214.5,235.9,0.0,0.0,0.0,0.002165073061869301
claude,ABBV,2026-02-26,5,224.69000244140625,6,2026-03-04,2026-03-04,236.19000244140625,225.2,221.5,228.9,218.8,231.6,216.1,234.3,0.0,0.0,0.0,0.002165073061869301
claude,ABBV,2026-02-26,1,224.69000244140625,7,2026-03-05,2026-03-05,232.3500061035156,226.15,221.5,230.8,218.25,233.95,215.8,236.4,0.0,1.0,1.0,0.0007120309270539623
claude,ABBV,2026-02-26,2,224.69000244140625,7,2026-03-05,2026-03-05,232.3500061035156,226.5,220.15,232.85,215.6,237.4,212.3,240.7,1.0,1.0,1.0,0.0006339095023801514
claude,ABBV,2026-02-26,3,224.69000244140625,7,2026-03-05,2026-03-05,232.3500061035156,226.15,220.45,231.85,216.78,235.52,214.21,238.09,0.0,1.0,1.0,0.0007120309270539623
claude,ABBV,2026-02-26,4,224.69000244140625,7,2026-03-05,2026-03-05,232.3500061035156,226.45,222.8,230.1,218.95,233.95,216.2,236.7,0.0,1.0,1.0,0.0006447918587957924
claude,ABBV,2026-02-26,5,224.69000244140625,7,2026-03-05,2026-03-05,232.3500061035156,226.15,221.5,230.8,218.25,233.95,215.8,236.5,0.0,1.0,1.0,0.0007120309270539623
claude,ABBV,2026-02-27,1,232.0800018310547,21,2026-03-20,2026-03-20,205.07000732421875,234.5,228.75,240.25,223.4,245.6,220.15,248.85,0.0,0.0,0.0,0.020595674247670306
claude,ABBV,2026-02-27,2,232.0800018310547,21,2026-03-20,2026-03-20,205.07000732421875,234.5,227.0,242.0,220.0,249.0,215.0,254.0,0.0,0.0,0.0,0.020595674247670306
claude,ABBV,2026-02-27,3,232.0800018310547,21,2026-03-20,2026-03-20,205.07000732421875,234.5,227.8,241.2,223.15,245.85,219.9,249.1,0.0,0.0,0.0,0.020595674247670306
claude,ABBV,2026-02-27,4,232.0800018310547,21,2026-03-20,2026-03-20,205.07000732421875,235.5,228.45,242.55,222.3,248.7,218.15,252.85,0.0,0.0,0.0,0.022019091785269475
claude,ABBV,2026-02-27,5,232.0800018310547,21,2026-03-20,2026-03-20,205.07000732421875,235.5,228.0,243.0,220.0,251.0,215.0,256.0,0.0,0.0,0.0,0.022019091785269475
claude,ABBV,2026-02-27,1,232.0800018310547,6,2026-03-05,2026-03-05,232.3500061035156,232.5,228.75,236.25,226.12,238.04,224.3,240.86,1.0,1.0,1.0,4.167367475944007e-07
claude,ABBV,2026-02-27,2,232.0800018310547,6,2026-03-05,2026-03-05,232.3500061035156,232.5,228.75,236.25,225.5,239.5,223.0,242.0,1.0,1.0,1.0,4.167367475944007e-07
claude,ABBV,2026-02-27,3,232.0800018310547,6,2026-03-05,2026-03-05,232.3500061035156,232.5,228.75,236.25,225.5,239.5,223.0,242.0,1.0,1.0,1.0,4.167367475944007e-07
claude,ABBV,2026-02-27,4,232.0800018310547,6,2026-03-05,2026-03-05,232.3500061035156,232.5,228.75,236.25,226.15,238.85,224.4,240.6,1.0,1.0,1.0,4.167367475944007e-07
