model,domain,question_id,pred_date,target_date,actual_date,unit,current_value,actual_value,point_estimate,ci_50_low,ci_50_high,ci_80_low,ci_80_high,ci_90_low,ci_90_high,hit_50,hit_80,hit_90,brier_score
claude,crypto,crypto_ADA,2026-03-25,2026-03-26,2026-03-26,USD,0.270257,0.2699890266304743,0.274,0.258,0.29,0.243,0.308,0.233,0.32,1.0,1.0,1.0,0.00022026508140957608
claude,crypto,crypto_ADA,2026-03-26,2026-03-27,,USD,0.255556,,0.262,0.248,0.276,0.234,0.292,0.221,0.308,,,,
claude,crypto,crypto_AVAX,2026-03-25,2026-03-26,2026-03-26,USD,9.67,9.662242689138962,9.75,9.35,10.15,8.9,10.6,8.45,11.1,1.0,1.0,1.0,8.235949315584803e-05
claude,crypto,crypto_AVAX,2026-03-26,2026-03-27,,USD,9.16,,9.25,8.7,9.8,8.1,10.4,7.5,11.0,,,,
claude,crypto,crypto_BNB,2026-03-25,2026-03-26,2026-03-26,USD,646.55,647.3180223384383,652.0,632.0,672.0,615.0,690.0,600.0,710.0,1.0,1.0,1.0,5.2439004983329264e-05
claude,crypto,crypto_BNB,2026-03-26,2026-03-27,,USD,626.93,,620.0,605.0,638.0,588.0,655.0,570.0,672.0,,,,
claude,crypto,crypto_BTC,2026-03-25,2026-03-26,2026-03-26,USD,70996.0,71309.26403856269,71500.0,69500.0,73500.0,67000.0,76000.0,64500.0,78500.0,1.0,1.0,1.0,7.2176763559022725e-06
claude,crypto,crypto_BTC,2026-03-26,2026-03-27,,USD,68905.0,,69200.0,66800.0,71600.0,64500.0,73800.0,62000.0,76500.0,,,,
claude,crypto,crypto_DOGE,2026-03-25,2026-03-26,2026-03-26,USD,0.096288,0.0959970640682465,0.103,0.096,0.107,0.09,0.113,0.085,0.12,0.0,1.0,1.0,0.0052895164743515626
claude,crypto,crypto_DOGE,2026-03-26,2026-03-27,,USD,0.090995,,0.089,0.084,0.094,0.079,0.099,0.074,0.105,,,,
claude,crypto,crypto_DOT,2026-03-25,2026-03-26,,USD,1.37,,1.37,1.33,1.41,1.29,1.46,1.25,1.51,,,,
claude,crypto,crypto_DOT,2026-03-26,2026-03-27,,USD,1.32,,1.31,1.26,1.37,1.2,1.44,1.15,1.5,,,,
claude,crypto,crypto_ETH,2026-03-25,2026-03-26,,USD,2165.96,,2187.0,2100.0,2270.0,2000.0,2380.0,1900.0,2480.0,,,,
claude,crypto,crypto_ETH,2026-03-26,2026-03-27,,USD,2060.63,,2080.0,1980.0,2180.0,1850.0,2300.0,1720.0,2420.0,,,,
claude,crypto,crypto_LINK,2026-03-25,2026-03-26,,USD,9.33,,9.38,9.05,9.72,8.65,10.15,8.2,10.65,,,,
claude,crypto,crypto_LINK,2026-03-26,2026-03-27,,USD,8.91,,8.75,8.4,9.1,7.9,9.55,7.45,10.05,,,,
claude,crypto,crypto_SOL,2026-03-25,2026-03-26,,USD,91.75,,92.5,88.0,97.0,83.0,102.0,78.0,107.0,,,,
claude,crypto,crypto_SOL,2026-03-26,2026-03-27,,USD,87.16,,88.5,84.0,93.0,79.0,97.0,74.0,102.0,,,,
claude,crypto,crypto_XRP,2026-03-25,2026-03-26,,USD,1.41,,1.42,1.37,1.47,1.32,1.53,1.27,1.58,,,,
claude,crypto,crypto_XRP,2026-03-26,2026-03-27,,USD,1.36,,1.37,1.3,1.44,1.22,1.52,1.15,1.6,,,,
claude,forex,forex_AUD_USD,2026-03-25,2026-03-26,2026-03-26,AUD/USD,0.6950380802154541,0.6897788047790527,0.695,0.6935,0.6965,0.692,0.698,0.6905,0.6995,0.0,0.0,0.0,5.643163902932223e-05
claude,forex,forex_AUD_USD,2026-03-26,2026-03-27,,AUD/USD,0.6899882555007935,,0.69,0.6885,0.6915,0.6872,0.6928,0.686,0.694,,,,
claude,forex,forex_EUR_USD,2026-03-25,2026-03-26,2026-03-26,EUR/USD,1.1564704179763794,1.1536686420440674,1.1565,1.154,1.159,1.1515,1.1615,1.149,1.164,0.0,1.0,1.0,5.994051929434128e-06
claude,forex,forex_EUR_USD,2026-03-26,2026-03-27,,EUR/USD,1.1539349555969238,,1.1539,1.151,1.1568,1.1485,1.1593,1.1465,1.1613,,,,
claude,forex,forex_GBP_USD,2026-03-25,2026-03-26,2026-03-26,GBP/USD,1.3361374139785769,1.3338810205459597,1.3361,1.333,1.3392,1.3305,1.3417,1.3285,1.3437,1.0,1.0,1.0,2.7580638236983753e-06
claude,forex,forex_GBP_USD,2026-03-26,2026-03-27,,GBP/USD,1.333785057067871,,1.3338,1.3305,1.3371,1.3278,1.3398,1.326,1.3416,,,,
claude,forex,forex_NZD_USD,2026-03-25,2026-03-26,2026-03-26,NZD/USD,0.5809224843978882,0.5767678022384644,0.5809,0.5795,0.5823,0.5784,0.5834,0.5775,0.5843,0.0,0.0,0.0,5.0597123120412476e-05
claude,forex,forex_NZD_USD,2026-03-26,2026-03-27,,NZD/USD,0.5769674777984619,,0.577,0.5758,0.5782,0.5748,0.5792,0.574,0.58,,,,
claude,forex,forex_USD_CAD,2026-03-25,2026-03-26,2026-03-26,USD/CAD,1.3816499710083008,1.3851699829101562,1.3816,1.3795,1.3837,1.3778,1.3854,1.3765,1.3867,0.0,1.0,1.0,6.676305629901677e-06
claude,forex,forex_USD_CAD,2026-03-26,2026-03-27,,USD/CAD,1.3839000463485718,,1.3839,1.382,1.3858,1.3805,1.3873,1.3795,1.3883,,,,
claude,forex,forex_USD_CHF,2026-03-25,2026-03-26,2026-03-26,USD/CHF,0.791949987411499,0.7944999933242798,0.7919,0.7905,0.7933,0.7893,0.7945,0.7885,0.7953,0.0,1.0,1.0,1.0778267385084283e-05
claude,forex,forex_USD_CHF,2026-03-26,2026-03-27,,USD/CHF,0.7943599820137024,,0.7944,0.792,0.7968,0.79,0.7988,0.788,0.8008,,,,
claude,forex,forex_USD_JPY,2026-03-25,2026-03-26,2026-03-26,USD/JPY,159.47300720214844,159.67599487304688,159.47,158.97,159.97,158.47,160.47,157.97,160.97,1.0,1.0,1.0,1.6685470413255064e-06
claude,forex,forex_USD_JPY,2026-03-26,2026-03-27,,USD/JPY,159.66000366210938,,159.66,159.16,160.16,158.66,160.66,158.16,161.16,,,,
claude,forex,forex_USD_MXN,2026-03-25,2026-03-26,2026-03-26,USD/MXN,17.76664924621582,17.81329917907715,17.7666,17.69,17.8432,17.6134,17.9198,17.5601,17.9731,1.0,1.0,1.0,6.9088765943293455e-06
claude,forex,forex_USD_MXN,2026-03-26,2026-03-27,,USD/MXN,17.798999786376953,,17.808,17.72,17.896,17.61,18.0,17.5,18.12,,,,
claude,nba,nba_ATL_BOS_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,228.0,220.0,236.0,214.0,242.0,210.0,248.0,,,,
claude,nba,nba_BKN_LAL_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,228.0,220.0,236.0,213.0,243.0,208.0,248.0,,,,
claude,nba,nba_CHI_OKC_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,226.0,218.0,234.0,210.0,242.0,205.0,248.0,,,,
claude,nba,nba_DAL_POR_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,228.0,218.0,238.0,210.0,246.0,204.0,252.0,,,,
claude,nba,nba_HOU_MEM_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,226.0,218.0,234.0,210.0,242.0,204.0,248.0,,,,
claude,nba,nba_LAC_IND_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,228.0,218.0,238.0,210.0,246.0,204.0,252.0,,,,
claude,nba,nba_MIA_CLE_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,221.0,213.0,229.0,207.0,235.0,202.0,240.0,,,,
claude,nba,nba_NO_DET_2026-03-26,2026-03-25,2026-03-26,,total points,0.0,,228.0,220.0,236.0,213.0,243.0,208.0,248.0,,,,
claude,nba,nba_NO_TOR_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,228.0,220.0,236.0,212.0,244.0,206.0,250.0,,,,
claude,nba,nba_NY_CHA_2026-03-26,2026-03-25,2026-03-26,,total points,0.0,,224.0,215.0,233.0,208.0,240.0,203.0,245.0,,,,
claude,nba,nba_SAC_ORL_2026-03-26,2026-03-25,2026-03-26,,total points,0.0,,222.0,214.0,230.0,208.0,236.0,203.0,241.0,,,,
claude,nba,nba_UTAH_DEN_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,228.0,220.0,236.0,213.0,243.0,208.0,248.0,,,,
claude,nba,nba_WSH_GS_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,228.0,218.0,238.0,210.0,246.0,204.0,252.0,,,,
claude,stocks,stocks_AAPL,2026-03-25,2026-03-26,2026-03-26,USD,252.6511993408203,255.0399932861328,253.4,250.8,256.0,248.2,258.5,245.5,261.0,1.0,1.0,1.0,4.213484608997345e-05
claude,stocks,stocks_AAPL,2026-03-26,2026-03-27,,USD,256.2200012207031,,257.35,254.5,260.1,251.8,262.5,249.0,265.0,,,,
claude,stocks,stocks_AMZN,2026-03-25,2026-03-26,2026-03-26,USD,211.2100067138672,209.30999755859372,212.5,208.5,216.0,205.0,219.5,202.0,222.5,1.0,1.0,1.0,0.00022811458311851926
claude,stocks,stocks_AMZN,2026-03-26,2026-03-27,,USD,210.13499450683597,,211.5,207.5,215.0,204.0,218.5,200.5,222.0,,,,
claude,stocks,stocks_AVGO,2026-03-25,2026-03-26,2026-03-26,USD,317.4100036621094,312.5599975585937,319.5,313.0,326.0,307.0,332.0,301.0,338.0,0.0,1.0,1.0,0.0004780551776949403
claude,stocks,stocks_AVGO,2026-03-26,2026-03-27,,USD,311.4649963378906,,313.5,307.0,320.0,301.0,326.0,295.0,332.0,,,,
claude,stocks,stocks_BRK-B,2026-03-25,2026-03-26,2026-03-26,USD,478.5249938964844,475.2200012207031,479.5,475.0,484.0,470.0,489.0,465.0,494.0,1.0,1.0,1.0,7.999779885436676e-05
claude,stocks,stocks_BRK-B,2026-03-26,2026-03-27,,USD,475.8399963378906,,476.8,473.5,480.1,470.2,483.4,467.5,486.0,,,,
claude,stocks,stocks_COST,2026-03-25,2026-03-26,2026-03-26,USD,975.1900024414062,985.219970703125,977.5,968.0,987.0,959.0,996.0,951.0,1004.0,1.0,1.0,1.0,6.26690085245913e-05
claude,stocks,stocks_COST,2026-03-26,2026-03-27,,USD,985.5100708007812,,988.5,979.0,998.0,970.0,1007.0,963.0,1015.0,,,,
claude,stocks,stocks_GOOGL,2026-03-25,2026-03-26,2026-03-26,USD,289.92999267578125,283.0357971191406,291.5,287.5,295.5,284.0,299.0,281.0,303.0,0.0,0.0,1.0,0.0008522869524624614
claude,stocks,stocks_GOOGL,2026-03-26,2026-03-27,,USD,283.8800048828125,,285.5,281.0,289.0,277.5,292.5,274.0,296.0,,,,
claude,stocks,stocks_JNJ,2026-03-25,2026-03-26,2026-03-26,USD,240.4250030517578,241.4199981689453,240.67,238.9,242.44,237.15,244.2,235.5,245.85,1.0,1.0,1.0,9.73108230338457e-06
claude,stocks,stocks_JNJ,2026-03-26,2026-03-27,,USD,241.4499969482422,,241.93,239.85,244.01,238.12,245.78,236.5,247.4,,,,
claude,stocks,stocks_JPM,2026-03-25,2026-03-26,2026-03-26,USD,295.130615234375,291.1724853515625,296.5,292.0,301.0,288.0,305.0,284.0,309.0,0.0,1.0,1.0,0.00032585229093809204
claude,stocks,stocks_JPM,2026-03-26,2026-03-27,,USD,292.31500244140625,,293.5,289.5,297.5,285.0,302.0,281.0,306.0,,,,
claude,stocks,stocks_LLY,2026-03-25,2026-03-26,2026-03-26,USD,913.64501953125,904.9500122070312,916.5,905.0,928.0,895.0,938.0,885.0,948.0,0.0,1.0,1.0,0.00015981151484849383
claude,stocks,stocks_LLY,2026-03-26,2026-03-27,,USD,906.010009765625,,909.5,895.0,924.0,882.0,937.0,872.0,947.0,,,,
claude,stocks,stocks_MA,2026-03-25,2026-03-26,2026-03-26,USD,501.5910034179688,500.5700073242188,503.5,498.0,509.0,493.0,514.0,488.0,519.0,1.0,1.0,1.0,3.4121930398696814e-05
claude,stocks,stocks_MA,2026-03-26,2026-03-27,,USD,501.3200073242188,,503.5,497.0,510.0,491.0,516.0,486.0,521.0,,,,
claude,stocks,stocks_META,2026-03-25,2026-03-26,2026-03-26,USD,594.530029296875,551.8800048828125,597.5,588.0,607.0,579.0,616.0,572.0,623.0,0.0,0.0,0.0,0.005887933252751897
claude,stocks,stocks_META,2026-03-26,2026-03-27,,USD,551.4400024414062,,554.5,546.0,563.0,538.0,571.0,531.0,578.0,,,,
claude,stocks,stocks_MSFT,2026-03-25,2026-03-26,2026-03-26,USD,369.6700134277344,368.5499877929688,371.2,366.5,375.9,362.0,380.5,358.0,384.5,1.0,1.0,1.0,5.138866108148985e-05
claude,stocks,stocks_MSFT,2026-03-26,2026-03-27,,USD,367.94720458984375,,369.5,364.0,375.0,359.0,380.0,354.0,385.0,,,,
claude,stocks,stocks_MU,2026-03-25,2026-03-26,2026-03-26,USD,378.0255126953125,359.5299072265625,379.85,373.5,386.2,367.0,392.5,361.0,398.0,0.0,0.0,0.0,0.0028894098616046807
claude,stocks,stocks_MU,2026-03-26,2026-03-27,,USD,361.3250122070313,,363.5,357.0,370.0,350.0,377.0,344.0,383.0,,,,
claude,stocks,stocks_NVDA,2026-03-25,2026-03-26,2026-03-26,USD,177.9600067138672,173.61000061035156,179.5,175.0,183.5,171.0,187.5,167.0,191.0,0.0,1.0,1.0,0.0010954326284670715
claude,stocks,stocks_NVDA,2026-03-26,2026-03-27,,USD,173.73500061035156,,174.85,170.5,179.2,166.8,182.9,163.5,186.5,,,,
claude,stocks,stocks_QQQ,2026-03-25,2026-03-26,2026-03-26,USD,586.6300048828125,577.97998046875,589.5,582.0,597.0,575.0,604.0,568.0,611.0,0.0,1.0,1.0,0.00038563628093429874
claude,stocks,stocks_QQQ,2026-03-26,2026-03-27,,USD,578.6600952148438,,580.5,574.0,587.0,568.0,593.0,562.0,598.0,,,,
claude,stocks,stocks_SPY,2026-03-25,2026-03-26,2026-03-26,USD,655.9299926757812,648.77001953125,657.5,652.0,663.0,646.0,669.0,641.0,674.0,0.0,1.0,1.0,0.00017713792981823102
claude,stocks,stocks_SPY,2026-03-26,2026-03-27,,USD,649.5,,651.0,645.0,657.0,639.0,663.0,634.0,668.0,,,,
claude,stocks,stocks_TSLA,2026-03-25,2026-03-26,2026-03-26,USD,385.2300109863281,377.0899963378906,387.5,378.0,397.0,370.0,405.0,362.0,413.0,0.0,1.0,1.0,0.0007302331397919555
claude,stocks,stocks_TSLA,2026-03-26,2026-03-27,,USD,377.6210021972656,,379.5,370.0,389.0,362.0,397.0,355.0,405.0,,,,
claude,stocks,stocks_V,2026-03-25,2026-03-26,2026-03-26,USD,304.44000244140625,304.6099853515625,305.5,302.8,308.2,300.1,310.9,297.5,313.5,1.0,1.0,1.0,8.546550747279063e-06
claude,stocks,stocks_V,2026-03-26,2026-03-27,,USD,304.54998779296875,,305.5,302.8,308.2,300.1,311.0,297.5,313.5,,,,
claude,stocks,stocks_WMT,2026-03-25,2026-03-26,2026-03-26,USD,123.2822036743164,122.8000030517578,123.65,122.5,124.8,121.2,126.1,120.0,127.5,1.0,1.0,1.0,4.753723914684824e-05
claude,stocks,stocks_WMT,2026-03-26,2026-03-27,,USD,123.12000274658205,,123.45,122.2,124.7,121.0,125.9,119.8,127.1,,,,
claude,stocks,stocks_XOM,2026-03-25,2026-03-26,2026-03-26,USD,163.6649932861328,165.0,163.98,162.45,165.51,161.02,166.94,159.87,168.09,1.0,1.0,1.0,3.884085214446854e-05
claude,stocks,stocks_XOM,2026-03-26,2026-03-27,,USD,164.8800048828125,,165.2,163.5,166.9,161.8,168.6,160.2,170.1,,,,
claude,weather,weather_Atlanta_GA,2026-03-25,2026-03-26,2026-03-26,°F,66.0,80.2,80.0,78.0,82.0,76.0,84.0,74.0,86.0,1.0,1.0,1.0,9.182736455463988e-06
claude,weather,weather_Atlanta_GA,2026-03-26,2026-03-27,,°F,80.3,,83.0,81.0,85.0,79.0,87.0,77.0,89.0,,,,
claude,weather,weather_Austin_TX,2026-03-25,2026-03-26,2026-03-26,°F,87.4,87.1,85.0,83.0,87.0,81.0,89.0,79.0,91.0,0.0,1.0,1.0,0.000577318831852287
claude,weather,weather_Austin_TX,2026-03-26,2026-03-27,,°F,86.7,,86.0,84.0,88.0,82.0,90.0,80.0,92.0,,,,
claude,weather,weather_Boston_MA,2026-03-25,2026-03-26,2026-03-26,°F,52.9,66.3,67.0,64.0,70.0,61.0,73.0,58.0,75.0,1.0,1.0,1.0,0.00017509943146286783
claude,weather,weather_Boston_MA,2026-03-26,2026-03-27,,°F,66.1,,53.0,51.0,55.0,49.0,57.0,47.0,59.0,,,,
claude,weather,weather_Charlotte_NC,2026-03-25,2026-03-26,2026-03-26,°F,65.9,78.3,78.0,76.0,80.0,74.0,82.0,72.0,84.0,1.0,1.0,1.0,2.0723909174013667e-05
claude,weather,weather_Charlotte_NC,2026-03-26,2026-03-27,,°F,78.2,,87.0,85.0,89.0,83.0,91.0,81.0,93.0,,,,
claude,weather,weather_Chicago_IL,2026-03-25,2026-03-26,2026-03-26,°F,72.1,67.3,58.0,55.0,61.0,52.0,64.0,49.0,67.0,0.0,0.0,0.0,0.016637779628771096
claude,weather,weather_Chicago_IL,2026-03-26,2026-03-27,,°F,68.2,,38.0,35.0,41.0,32.0,44.0,29.0,47.0,,,,
claude,weather,weather_Cincinnati_OH,2026-03-25,2026-03-26,2026-03-26,°F,72.8,82.4,82.0,79.0,85.0,76.0,87.0,74.0,89.0,1.0,1.0,1.0,3.0189590629151932e-05
claude,weather,weather_Cincinnati_OH,2026-03-26,2026-03-27,,°F,81.8,,70.0,67.0,73.0,64.0,76.0,61.0,78.0,,,,
claude,weather,weather_Columbus_OH,2026-03-25,2026-03-26,2026-03-26,°F,67.9,79.3,77.0,74.0,80.0,71.0,83.0,68.0,86.0,1.0,1.0,1.0,0.0011474033762723893
claude,weather,weather_Columbus_OH,2026-03-26,2026-03-27,,°F,79.3,,56.0,54.0,58.0,52.0,60.0,50.0,62.0,,,,
claude,weather,weather_Dallas_TX,2026-03-25,2026-03-26,2026-03-26,°F,83.0,85.7,84.0,82.0,86.0,79.0,89.0,76.0,92.0,1.0,1.0,1.0,0.00041950936275221513
claude,weather,weather_Dallas_TX,2026-03-26,2026-03-27,,°F,85.1,,74.0,71.0,77.0,68.0,80.0,65.0,83.0,,,,
claude,weather,weather_Denver_CO,2026-03-25,2026-03-26,2026-03-26,°F,89.5,80.5,86.0,83.0,89.0,80.0,92.0,77.0,94.0,0.0,1.0,1.0,0.003776411472800474
claude,weather,weather_Denver_CO,2026-03-26,2026-03-27,,°F,80.8,,56.0,53.0,59.0,50.0,62.0,47.0,65.0,,,,
claude,weather,weather_Houston_TX,2026-03-25,2026-03-26,2026-03-26,°F,80.0,82.0,81.0,79.0,83.0,77.0,85.0,75.0,87.0,1.0,1.0,1.0,0.00015625000000000003
claude,weather,weather_Houston_TX,2026-03-26,2026-03-27,,°F,81.0,,83.0,81.0,85.0,79.0,87.0,77.0,89.0,,,,
claude,weather,weather_Indianapolis_IN,2026-03-25,2026-03-26,2026-03-26,°F,71.8,83.2,84.0,82.0,86.0,80.0,88.0,78.0,90.0,1.0,1.0,1.0,0.00012414552959706928
claude,weather,weather_Indianapolis_IN,2026-03-26,2026-03-27,,°F,83.7,,58.0,55.0,61.0,52.0,64.0,49.0,67.0,,,,
claude,weather,weather_Kansas-City_MO,2026-03-25,2026-03-26,2026-03-26,°F,85.7,92.3,92.0,90.0,94.0,88.0,96.0,86.0,98.0,1.0,1.0,1.0,1.2254084354393333e-05
claude,weather,weather_Kansas-City_MO,2026-03-26,2026-03-27,,°F,92.4,,58.0,55.0,61.0,52.0,64.0,49.0,67.0,,,,
claude,weather,weather_Las-Vegas_NV,2026-03-25,2026-03-26,2026-03-26,°F,98.1,95.1,94.0,92.0,96.0,90.0,98.0,88.0,100.0,1.0,1.0,1.0,0.00012573244343858363
claude,weather,weather_Las-Vegas_NV,2026-03-26,2026-03-27,,°F,94.7,,94.0,92.0,96.0,90.0,98.0,88.0,100.0,,,,
claude,weather,weather_Los-Angeles_CA,2026-03-25,2026-03-26,2026-03-26,°F,78.6,83.9,82.0,80.0,84.0,78.0,86.0,76.0,88.0,1.0,1.0,1.0,0.0005843352821967157
claude,weather,weather_Los-Angeles_CA,2026-03-26,2026-03-27,,°F,84.2,,82.0,80.0,84.0,78.0,86.0,76.0,88.0,,,,
claude,weather,weather_Memphis_TN,2026-03-25,2026-03-26,2026-03-26,°F,81.7,84.6,85.0,83.0,87.0,81.0,89.0,79.0,91.0,1.0,1.0,1.0,2.397043247154703e-05
claude,weather,weather_Memphis_TN,2026-03-26,2026-03-27,,°F,84.6,,69.0,67.0,71.0,65.0,73.0,63.0,75.0,,,,
claude,weather,weather_Miami_FL,2026-03-25,2026-03-26,2026-03-26,°F,80.2,80.7,80.0,78.0,82.0,76.0,84.0,74.0,86.0,1.0,1.0,1.0,7.618111827662826e-05
claude,weather,weather_Miami_FL,2026-03-26,2026-03-27,,°F,81.1,,76.0,74.0,78.0,72.0,80.0,70.0,82.0,,,,
claude,weather,weather_Minneapolis_MN,2026-03-25,2026-03-26,2026-03-26,°F,73.7,54.4,54.0,51.0,57.0,48.0,60.0,45.0,63.0,1.0,1.0,1.0,2.9456762075891453e-05
claude,weather,weather_Minneapolis_MN,2026-03-26,2026-03-27,,°F,54.4,,34.0,31.0,37.0,28.0,40.0,25.0,43.0,,,,
claude,weather,weather_Nashville_TN,2026-03-25,2026-03-26,2026-03-26,°F,74.6,83.7,84.0,82.0,86.0,80.0,88.0,78.0,90.0,1.0,1.0,1.0,1.617204177418049e-05
claude,weather,weather_Nashville_TN,2026-03-26,2026-03-27,,°F,83.6,,71.0,69.0,73.0,67.0,75.0,65.0,77.0,,,,
claude,weather,weather_New-Orleans_LA,2026-03-25,2026-03-26,2026-03-26,°F,82.8,85.3,78.0,76.0,80.0,74.0,82.0,72.0,84.0,0.0,0.0,0.0,0.007772935191019623
claude,weather,weather_New-Orleans_LA,2026-03-26,2026-03-27,,°F,85.5,,82.0,80.0,84.0,78.0,86.0,76.0,88.0,,,,
claude,weather,weather_New-York_NY,2026-03-25,2026-03-26,2026-03-26,°F,53.7,76.2,76.0,73.0,79.0,70.0,82.0,67.0,85.0,1.0,1.0,1.0,1.3871116520846948e-05
claude,weather,weather_New-York_NY,2026-03-26,2026-03-27,,°F,75.9,,63.0,61.0,65.0,59.0,67.0,57.0,69.0,,,,
claude,weather,weather_Philadelphia_PA,2026-03-25,2026-03-26,2026-03-26,°F,57.7,77.7,76.0,74.0,78.0,72.0,80.0,70.0,82.0,1.0,1.0,1.0,0.0008680529482262011
claude,weather,weather_Philadelphia_PA,2026-03-26,2026-03-27,,°F,77.8,,69.0,67.0,71.0,65.0,73.0,63.0,75.0,,,,
claude,weather,weather_Phoenix_AZ,2026-03-25,2026-03-26,2026-03-26,°F,98.2,99.8,99.0,97.0,101.0,95.0,103.0,93.0,105.0,1.0,1.0,1.0,6.636773532547106e-05
claude,weather,weather_Phoenix_AZ,2026-03-26,2026-03-27,,°F,99.8,,102.0,100.0,104.0,98.0,106.0,96.0,108.0,,,,
claude,weather,weather_Pittsburgh_PA,2026-03-25,2026-03-26,2026-03-26,°F,65.3,77.0,68.0,65.0,71.0,62.0,74.0,59.0,76.0,0.0,0.0,0.0,0.018995846710552544
claude,weather,weather_Pittsburgh_PA,2026-03-26,2026-03-27,,°F,77.2,,60.0,57.0,63.0,54.0,66.0,51.0,68.0,,,,
claude,weather,weather_Portland_OR,2026-03-25,2026-03-26,2026-03-26,°F,53.5,51.6,50.0,48.0,52.0,46.0,54.0,44.0,56.0,1.0,1.0,1.0,0.0008944012577517702
claude,weather,weather_Portland_OR,2026-03-26,2026-03-27,,°F,51.7,,58.0,56.0,60.0,54.0,62.0,52.0,64.0,,,,
claude,weather,weather_Salt-Lake-City_UT,2026-03-25,2026-03-26,2026-03-26,°F,84.0,65.9,63.0,60.0,66.0,57.0,69.0,54.0,72.0,1.0,1.0,1.0,0.0011918934240362855
claude,weather,weather_Salt-Lake-City_UT,2026-03-26,2026-03-27,,°F,65.9,,72.0,70.0,74.0,68.0,76.0,66.0,78.0,,,,
claude,weather,weather_San-Antonio_TX,2026-03-25,2026-03-26,2026-03-26,°F,87.7,88.0,86.0,84.0,88.0,82.0,90.0,80.0,92.0,1.0,1.0,1.0,0.0005200688051029152
claude,weather,weather_San-Antonio_TX,2026-03-26,2026-03-27,,°F,88.0,,88.0,85.0,91.0,82.0,93.0,79.0,95.0,,,,
claude,weather,weather_San-Diego_CA,2026-03-25,2026-03-26,2026-03-26,°F,74.7,80.0,75.0,73.0,77.0,71.0,79.0,69.0,81.0,0.0,0.0,1.0,0.004480214476827435
claude,weather,weather_San-Diego_CA,2026-03-26,2026-03-27,,°F,80.1,,76.0,74.0,78.0,72.0,80.0,70.0,82.0,,,,
claude,weather,weather_San-Francisco_CA,2026-03-25,2026-03-26,2026-03-26,°F,69.6,73.4,72.0,70.0,74.0,68.0,76.0,66.0,78.0,1.0,1.0,1.0,0.00040461091293434077
claude,weather,weather_San-Francisco_CA,2026-03-26,2026-03-27,,°F,73.5,,81.0,79.0,83.0,77.0,85.0,75.0,87.0,,,,
claude,weather,weather_San-Jose_CA,2026-03-25,2026-03-26,2026-03-26,°F,72.9,78.1,75.0,73.0,77.0,71.0,79.0,69.0,81.0,0.0,1.0,1.0,0.0018082910426557163
claude,weather,weather_San-Jose_CA,2026-03-26,2026-03-27,,°F,77.6,,85.0,83.0,87.0,81.0,89.0,79.0,91.0,,,,
